name,role,year in lab,destination,country
Zhang Yu,PhD Student,2013–2017,Professor at East China University of Science and Technology,China 
Guo Guilue,PhD Student,2012–2016,Engineer in Hefei Guoxuan High-Tech Power Energy Company Ltd,China
Ang Huixiang,PhD Student,2012–2016,Assistant Professor at Nanyang Technological University/National Institute of Education,Singapore
Yu Hong,PhD Student,2011–2015,Associate Professor at Northwestern Polytechnical University,China
Yang Dan,PhD Student,2011–2015,Research Fellow at Swinburne University of Technology,Australia
Zhang Wenyu,PhD Student,2010–2014,Research Fellow at Nanyang Technological University,China
Rui Xianhong,PhD Student,2010–2014,Professor at Guangdong University of Technology,China
Tan Hui Teng,PhD Student,2010–2014,Research Fellow at Nanyang Technological University,Singapore
Somaye Saadat,PhD Student,2010–2014,Research Fellow at Nanyang Technological University,Singapore
Xiao Ni,PhD Student,2009–2013,Research Fellow at Peking University,China
Shi Wenhui,PhD Student,2009–2013,Associate Professor at Zhejiang University of Technology,China
Zhao Weiyun,PhD Student,2009–2013,Research Fellow at SUTD,Singapore
Zhou Wenwen,PhD Student,2008–2012,Technical Development Manager at Nanomaterials Technology,Singapore
Zhu Jixin,PhD Student,2008–2012,Professor at University of Science and Technology of China,China
Du Chengfeng,Research Fellow,2016–2018,Associate Professor at Northwestern Polytechnical University,China
Zhen Yun,Research Fellow,2015–2017,Research Fellow at IMRE A*STAR,Singapore
Dai Zhengfei,Research Fellow,2016–2017,Professor at Xi’an Jiaotong University,China
Fan Haosen,Research Fellow,2015–2017,Associate Professor at Guangzhou University,China
Wang Huanwen,Research Fellow,2015–2016,Professor at China University of Geosciences,China
Wu Xinglong,Research Fellow,2015–2016,Professor at Northeast Normal University,China
Rui Xianhong,Research Fellow,2014–2015,Professor at Guangdong University of Technology,China
Sun Wenping,Research Fellow,2014–2015,Faculty member at University of Wollongong,China
Li Chengchao,Research Fellow,2012–2016,Professor at Guangzhou University of Technology,China
Mani Ulaganathan,Research Fellow,2012–2017,Assistant Professor at Indian Institute of Technology,Indore
Peng Shengjie,Research Fellow,2008–2014,Professor at Nanjing University of Aeronautics and Astronautics,China
Huang Xin,Research Fellow,2012–2014,Associate Professor at Sichuan University,China
Zeng Yi,Research Fellow,2010–2012,At battery company,China
Lu Ziyang,Research Fellow,2010–2013,Research Fellow at RMIT University,Australia
Liang Qinghua,Research Fellow,2016–2019,"Professor at Ganjiang Innovation Academy, Chinese Academy of Science",China
Zhang Cuimiao,Research Fellow,2010–2011,Associate Professor at Hubei University,China
Zhang Xiaojun,Research Fellow,2009–2011,Professor and Associate Chair of MSE at Anhui Normal University,China
Cai Ren,Research Associate,2011-2013,Professor of MSE at Hunan University,China
Lina Melva,Exchange Student,2017–2018,,"
"
Zhang Jianli,Exchange Student,2016–2018,"
","
"
Zhang Yufei,Exchange Student,2015–2017,Associate Professor at Guangdong University of Technology,"
China"
Zheng Penglun,Exchange Student,2016–2017,Associate Professor at Civil Aviation Flight University of China,"
"
Geng Hongbo,Exchange Student,2015–2016,,"
China"
Yin Jingzhou,Exchange Student,2015,"
","
"
Yang Jun,Exchange Student,2014–2017,"
Jiangsu University of Science and Technology",China
Zhao Jin ,Research Fellow ,2017-2019,Professor at Nanjing University of Posts and Telecommunications,China 
Lv Chade,Research Fellow,2019-2022,Professor at Harbin Institute of Technology,China
Yan Chunshuang,Research Fellow,2019-2021,Professor at Harbin Institute of Technology,China
Cheng Yan,Exchange Student,2018-2019,Associate Professor at Shaanxi University of Science and Technology,
Mo Zhao,Exchange Student,2019-2020,Associate Professor at Jiangsu University,China
Wei Fang,Research Fellow,2018-2020,Professor at Ningbo University ,China
Yao Jiandong,Research Fellow,2018-2020,Associate Professor at Sun Yat-sen University,China
Liu Yuhang,Exchange Student,2021-2022,Associate Professor at XinJiang University,China
